psnuuid,currentsnuprioritization
bmIyiALRBEZ,2 - Scale-Up: Aggressive
iY69BUSqcnC,1 - Scale-Up: Saturation
qUdeJw9Q0Vk,6 - Sustained: Commodities
YmeyoDakwFX,4 - Sustained
ZmWGSvpahPk,4 - Sustained
e9Ze74PEe99,6 - Sustained: Commodities
saOJtBcENzM,6 - Sustained: Commodities
Y6TnOG79VvP,2 - Scale-Up: Aggressive
TnDQJQtNVCK,6 - Sustained: Commodities
y8A4MNQse4l,1 - Scale-Up: Saturation
LEUjALXInGD,1 - Scale-Up: Saturation
wAZig6EhE1E,1 - Scale-Up: Saturation
XvmMVfsPylt,2 - Scale-Up: Aggressive
WYx3txQzS4e,2 - Scale-Up: Aggressive
Sj1YMJNo9Tt,2 - Scale-Up: Aggressive
EFTH3ILZG8X,2 - Scale-Up: Aggressive
RKsnc4nFUzT,4 - Sustained
ZxJNWnk4hYW,4 - Sustained
nbkoU3gPiM0,5 - Centrally Supported
clasYX5teTV,4 - Sustained
PeF6C8RQJMc,1 - Scale-Up: Saturation
UVkUJt5o0py,4 - Sustained
h7r7vMKQIy8,4 - Sustained
sJDHzjIEcte,5 - Centrally Supported
haFG5XDW24C,4 - Sustained
VGZnGAkKRN3,5 - Centrally Supported
bluPTs5StEv,4 - Sustained
PJKaNADvNfi,4 - Sustained
VLxcOygmtHk,5 - Centrally Supported
YXiMSh7CqES,4 - Sustained
fHkrk3yL1uU,4 - Sustained
oAgxCCStCQe,4 - Sustained
li3fcQxXdg7,4 - Sustained
qc293v9pKIX,4 - Sustained
ThGVWZfLjoq,5 - Centrally Supported
rahoVxbwRB5,4 - Sustained
r5xWCJ4ZqYQ,4 - Sustained
hz2Tdvrxqbp,4 - Sustained
PLYdjomcBkA,4 - Sustained
Vq1CnJNw46x,4 - Sustained
WquO0ev4xvO,5 - Centrally Supported
OBX1MPwg7V9,2 - Scale-Up: Aggressive
jEG1QQsvDeX,4 - Sustained
VVLMNX1DVin,5 - Centrally Supported
bLF8QVYOUu3,5 - Centrally Supported
Ns6ZJi0iwJj,5 - Centrally Supported
nUeu5anINhj,5 - Centrally Supported
O4ls7EsyEQP,5 - Centrally Supported
VFxTcRztfUD,5 - Centrally Supported
Q966kXsyR20,5 - Centrally Supported
iwzUigxHuvr,4 - Sustained
HBG4z9eT0gp,5 - Centrally Supported
oCGhqAOirsv,5 - Centrally Supported
A0XPpQxn05b,4 - Sustained
AFX0djkDX6A,4 - Sustained
GvTDrgjcU6R,4 - Sustained
RDEsqpDdyjC,4 - Sustained
s6P7NGophWH,5 - Centrally Supported
pl3EDv60GZ4,4 - Sustained
cMnkG8Hxa71,4 - Sustained
rucXXEqjQcK,4 - Sustained
W4MLzWKSvB1,5 - Centrally Supported
cDNpDbvmp5K,4 - Sustained
VAN2Ql7Bkro,4 - Sustained
cLBRoC6icGa,4 - Sustained
