"","cluster_psnuuid","operatingunit","psnu","psnuuid","fy17snuprioritization","cluster_psnu","cluster_snu1","cluster_fy17snuprioritization","cluster_set","cluster_submitter","cluster_date","uid"
"29","bVUktvRBkSC","Tanzania","Geita DC","bVUktvRBkSC","1 - Scale-Up: Saturation","Geita Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","gvn1AcWi5Nt"
"30","bVUktvRBkSC","Tanzania","Geita TC","uvOa3vSlS16","4 - Sustained","Geita Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","gvn1AcWi5Nt"
"31","bVxRDDk5dhV","Tanzania","Hai DC","bVxRDDk5dhV","4 - Sustained","Moshi-Hai_Siha_Mwanga Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","mMxUly5pB8L"
"32","bVxRDDk5dhV","Tanzania","Moshi DC","AilOhUXA8aG","2 - Scale-Up: Aggressive","Moshi-Hai_Siha_Mwanga Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","mMxUly5pB8L"
"33","bVxRDDk5dhV","Tanzania","Moshi MC","CbnpwmuwDpe","1 - Scale-Up: Saturation","Moshi-Hai_Siha_Mwanga Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","mMxUly5pB8L"
"34","bVxRDDk5dhV","Tanzania","Mwanga DC","feWqlZZmIFa","4 - Sustained","Moshi-Hai_Siha_Mwanga Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","mMxUly5pB8L"
"35","bVxRDDk5dhV","Tanzania","Siha DC","RKfeX87U7lA","4 - Sustained","Moshi-Hai_Siha_Mwanga Cluster","[Clustered]","[NOT DEFINED]",1,"N.Solehdin","1/17/2017","mMxUly5pB8L"
"36","Bx71ekAkh9C","Rwanda","Ruhango","PFs18sbpNbl","","South","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","E53HuVbB0yQ"
"37","Bx71ekAkh9C","Rwanda","Huye","jSmIAmJPziA","","South","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","E53HuVbB0yQ"
"38","Bx71ekAkh9C","Rwanda","Muhanga","JxLYPWKiJKM","","South","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","E53HuVbB0yQ"
"39","Bx71ekAkh9C","Rwanda","Nyamagabe","PIa2bvV6I4Z","","South","[Clustered]","[NOT DEFINED]",1,"A.Radin","3/9/2017","E53HuVbB0yQ"
