operatingunit,psnu,psnuuid,currentsnuprioritization,cluster_psnu,cluster_snu1,cluster_psnuuid,cluster_currentsnuprioritization,cluster_set,cluster_submitter,cluster_date
Uganda,Mukono District,ofADu4tfYGx,2 - Scale-Up: Aggressive,Kampala Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Mbarara District,qBnATrM2yWb,1 - Scale-Up: Saturation,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kiruhura District,z2Hf7UvjJGf,2 - Scale-Up: Aggressive,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Sheema District,AUQrr5i5UwN,1 - Scale-Up: Saturation,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Buhweju District,CRf8LcPIIol,4 - Sustained,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Ibanda District,PNg9TjYhMHF,2 - Scale-Up: Aggressive,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Ntungamo District,AuSNxhrQO7b,2 - Scale-Up: Aggressive,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Bushenyi District,cb9SBT9Dkul,1 - Scale-Up: Saturation,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Mitooma District,oWQXNhdnVWe,2 - Scale-Up: Aggressive,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Rubirizi District,wCtC32IBgsy,4 - Sustained,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Rukungiri District,SUzUiosYLZd,1 - Scale-Up: Saturation,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kanungu District,BZK6tOqdyJK,2 - Scale-Up: Aggressive,Mbarara Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kabarole District,ONYuNfx7Zx8,1 - Scale-Up: Saturation,Kabarole Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kyenjojo District,uzmvGujZv2K,2 - Scale-Up: Aggressive,Kabarole Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Kamwenge District,oSleoOgcMmJ,2 - Scale-Up: Aggressive,Kabarole Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Ntoroko District,H2TYawpBDO9,2 - Scale-Up: Aggressive,Kabarole Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Gulu District,tMliWxidVmG,1 - Scale-Up: Saturation,Gulu Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Nwoya District,vd1oDNwAfsr,4 - Sustained,Gulu Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Lamwo District,vG7S9jJp8I1,4 - Sustained,Gulu Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Amuru District,LehfgDTxQgE,4 - Sustained,Gulu Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Masaka District,GgXE4SpT2qg,1 - Scale-Up: Saturation,Masaka Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Rakai District,wrwOewzkKXu,2 - Scale-Up: Aggressive,Masaka Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Lwengo District,lUwH3eBWnc8,2 - Scale-Up: Aggressive,Masaka Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
Uganda,Lyantonde District,U0X3FFbxLG6,1 - Scale-Up: Saturation,Masaka Cluster,[Clustered],,[NOT DEFINED],1,N.Solehdin,1/10/2018
