operatingunit,psnu,psnuuid,fy17snuprioritization,cluster_psnu,cluster_snu1,cluster_psnuuid,cluster_fy17snuprioritization,cluster_set,cluster_submitter,cluster_date
Democratic Republic of the Congo,Kikula,jf7kv5ZPbM2,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kilwa,mLfokzGSDJb,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kipushi,pCODWiMvHX4,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Likasi,PgK6EwJ52Ji,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Mufunga-Sampwe,sDKxk72Fmkh,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Panda,ItLFN5k82Cs,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Pweto,HklkyYEG7Gv,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Sakania,kloe3J4FH0k,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Bunkeya,APlUXrGE7PQ,4 - Sustained,Lualaba Sustained,[NOT DEFINED],APlUXrGE7PQ,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Dilala,I3BZ5GynF7z,4 - Sustained,Lualaba Sustained,[NOT DEFINED],APlUXrGE7PQ,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Fungurume,XBz3SeLhTR5,4 - Sustained,Lualaba Sustained,[NOT DEFINED],APlUXrGE7PQ,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kanzenze,tFPzF1PdQYD,4 - Sustained,Lualaba Sustained,[NOT DEFINED],APlUXrGE7PQ,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Lualaba,nkk4fjd9ncb,4 - Sustained,Lualaba Sustained,[NOT DEFINED],APlUXrGE7PQ,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Lubudi,hZxBqL2oyE4,4 - Sustained,Lualaba Sustained,[NOT DEFINED],APlUXrGE7PQ,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Manika,snMVrjxxOz3,4 - Sustained,Lualaba Sustained,[NOT DEFINED],APlUXrGE7PQ,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Mutshatsha,udJcP2om689,4 - Sustained,Lualaba Sustained,[NOT DEFINED],APlUXrGE7PQ,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kikimi,aeMCpJ3cC3w,1 - Scale-Up: Saturation,Kinshasa Saturation Cluster,[NOT DEFINED],aeMCpJ3cC3w,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kimbanseke,IIWUbCKztLZ,1 - Scale-Up: Saturation,Kinshasa Saturation Cluster,[NOT DEFINED],aeMCpJ3cC3w,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kingabwa,EaCSG0WmNZV,1 - Scale-Up: Saturation,Kinshasa Saturation Cluster,[NOT DEFINED],aeMCpJ3cC3w,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kingasani,xnp6C0QwBUj,1 - Scale-Up: Saturation,Kinshasa Saturation Cluster,[NOT DEFINED],aeMCpJ3cC3w,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Masina 1,BQPR0UCqFyz,1 - Scale-Up: Saturation,Kinshasa Saturation Cluster,[NOT DEFINED],aeMCpJ3cC3w,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Masina 2,UQu4xUTufWE,1 - Scale-Up: Saturation,Kinshasa Saturation Cluster,[NOT DEFINED],aeMCpJ3cC3w,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Ndjili,ho0Fg1MrqMi,1 - Scale-Up: Saturation,Kinshasa Saturation Cluster,[NOT DEFINED],aeMCpJ3cC3w,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kafubu,z6HL5QkdXaU,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kamalondo,X0CYKb13qOd,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kampemba,a5jLbEaqXQH,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Katuba,BJwJiJ0aein,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kenya,orZLnojDCbO,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kisanga,Y6quIOmXjd1,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Lubumbashi,Ob5urm65M2B,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Mumbunda,RxH0BNkxRaX,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Rwashi,JlGVapzhvz3,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Tshamilemba,OWrW8UtHRQf,1 - Scale-Up: Saturation,Lubumbashi Saturation Cluster ,[NOT DEFINED],z6HL5QkdXaU,1 - Scale-Up: Saturation,1,L.Tally,1/25/2017
Haiti,Port-au-Prince,C4PnwquCK8U,1 - Scale-Up: Saturation,Greater Port-au-Prince Cluster,[Clustered],C4PnwquCK8U,1 - Scale-Up: Saturation,1,M. Melchior,1/12/2017
Haiti,Croix-Desbouquets,X1q3hSFTVw4,1 - Scale-Up: Saturation,Greater Port-au-Prince Cluster,[Clustered],C4PnwquCK8U,1 - Scale-Up: Saturation,1,M. Melchior,1/12/2017
